Date,inflation,inflation_lag1,inflation_lag4,inflation_ma4,gdp_growth_lag1,unemployment_lag1,imports_lag1,import_ratio_lag1,trade_balance_lag1
2000-03-31,3.033333333333333,2.0,-0.0666666666666666,1.7999999999999998,8.007225745645897,2.466666666666667,6355.0,1.155307506317378,1060.8000000000002
2000-06-30,3.5,3.033333333333333,1.2666666666666666,2.3583333333333334,1.4343628992673718,2.533333333333333,6693.7,1.1996738117427772,1429.8000000000002
2000-09-30,4.2,3.5,0.9,3.1833333333333336,1.9320381389346772,2.2,7035.2,1.236979990856982,1444.000000000001
2000-12-31,4.366666666666666,4.2,2.0,3.775,-0.4026444421000752,2.1,7181.0,1.2677200105922852,1350.3999999999996
2001-03-31,2.966666666666667,4.366666666666666,3.033333333333333,3.758333333333333,6.886750816488663,2.1,7769.2,1.2831896409341657,1034.4000000000003
2001-06-30,3.0666666666666664,2.966666666666667,3.5,3.65,-3.8334489479073808,2.066666666666667,7169.7,1.231378273937312,1812.3
2001-09-30,2.2666666666666666,3.0666666666666664,4.2,3.166666666666666,1.6298840704164874,1.7333333333333334,7714.3,1.3036637712508874,1163.999999999999
2001-12-31,1.3,2.2666666666666666,4.366666666666666,2.4,-3.14496231453002,1.7333333333333334,7355.5,1.2833912026939789,1082.2999999999993
2002-03-31,2.0333333333333337,1.3,2.966666666666667,2.166666666666667,11.821052815242616,2.066666666666667,7506.4,1.1712645112969666,1108.1000000000004
2002-06-30,1.4666666666666668,2.0333333333333337,3.0666666666666664,1.7666666666666668,-5.158532018474604,2.3000000000000003,7158.0,1.177651278338982,1814.5
2002-09-30,2.033333333333333,1.4666666666666668,2.2666666666666666,1.7083333333333337,5.266361751834436,2.3,7198.4,1.1250488410984167,1616.2000000000007
2002-12-31,2.6333333333333333,2.033333333333333,1.3,2.041666666666667,-4.77783161152181,2.533333333333333,6940.4,1.1391524144043592,1201.9000000000003
2003-03-31,3.366666666666667,2.6333333333333333,2.0333333333333337,2.375,5.734825854315062,3.1,7297.8,1.132846941943496,878.3999999999996
2003-06-30,2.4,3.366666666666667,1.4666666666666668,2.6083333333333334,-2.056814653834216,3.5666666666666664,7004.7,1.110183057294556,1266.3000000000002
2003-09-30,2.2666666666666666,2.4,2.033333333333333,2.666666666666667,4.161977969728192,3.466666666666667,7170.6,1.0910667823070253,1278.699999999999
2003-12-31,2.033333333333333,2.2666666666666666,2.6333333333333333,2.5166666666666666,-3.18163144200484,3.733333333333333,7365.2,1.1575043218607577,1401.5999999999997
2004-03-31,2.2666666666666666,2.033333333333333,3.366666666666667,2.2416666666666667,9.737545183089736,4.466666666666666,7868.2,1.126829547732936,1487.0999999999997
2004-06-30,3.3666666666666667,2.2666666666666666,2.4,2.4833333333333334,-2.7153209406238443,5.033333333333333,8021.5,1.1808479316943914,1683.7999999999993
2004-09-30,3.5,3.3666666666666667,2.2666666666666666,2.7916666666666665,4.450169291918149,4.8,8578.0,1.2089693177173622,1375.5
2004-12-31,3.866666666666666,3.5,2.033333333333333,3.25,-2.076022155511392,4.833333333333333,8277.7,1.191378814047208,1746.3999999999996
2005-03-31,3.2,3.866666666666666,2.2666666666666666,3.4833333333333334,5.830454807138752,5.133333333333333,9370.8,1.2744012729325045,1464.2000000000007
2005-06-30,3.5666666666666664,3.2,3.3666666666666667,3.533333333333333,-5.654757857230286,5.033333333333333,9127.4,1.3156991913280385,1785.300000000001
2005-09-30,4.333333333333333,3.5666666666666664,3.5,3.7416666666666663,6.591901748518869,4.5,9835.3,1.3300651827008896,1503.0
2005-12-31,4.033333333333333,4.333333333333333,3.866666666666666,3.783333333333333,0.1690422740919128,4.3,9731.9,1.313861025232547,2001.300000000001
2006-03-31,3.9,4.033333333333333,3.2,3.9583333333333335,15.321785854112946,4.766666666666667,10747.3,1.258171388433622,1848.1000000000004
