Date,gdp_growth,gdp_growth_lag1,gdp_growth_lag4,inflation_lag1,unemployment_lag1,exports_lag1,trade_balance_lag1,consumption_lag1,import_ratio_lag1
2000-03-31,1.4343628992673718,8.007225745645897,-1.6527749542589951,2.0,2.466666666666667,7415.8,1060.8000000000002,9048.406850287936,1.155307506317378
2000-06-30,1.9320381389346772,1.4343628992673718,5.763069227112072,3.033333333333333,2.533333333333333,8123.5,1429.8000000000002,9210.0,1.1996738117427772
2000-09-30,-0.4026444421000752,1.9320381389346772,-0.4612528095377821,3.5,2.2,8479.2,1444.000000000001,9351.479118261996,1.236979990856982
2000-12-31,6.886750816488663,-0.4026444421000752,8.007225745645897,4.2,2.1,8531.4,1350.3999999999996,9482.076447582262,1.2677200105922852
2001-03-31,-3.8334489479073808,6.886750816488663,1.4343628992673718,4.366666666666666,2.1,8803.6,1034.4000000000003,9611.526027007703,1.2831896409341657
2001-06-30,1.6298840704164874,-3.8334489479073808,1.9320381389346772,2.966666666666667,2.066666666666667,8982.0,1812.3,9748.0,1.231378273937312
2001-09-30,-3.14496231453002,1.6298840704164874,-0.4026444421000752,3.0666666666666664,1.7333333333333334,8878.3,1163.999999999999,9903.39982250321,1.3036637712508874
2001-12-31,11.821052815242616,-3.14496231453002,6.886750816488663,2.2666666666666666,1.7333333333333334,8437.8,1082.2999999999993,10071.904739119169,1.2833912026939789
2002-03-31,-5.158532018474604,11.821052815242616,-3.8334489479073808,1.3,2.066666666666667,8614.5,1108.1000000000004,10241.89225583918,1.1712645112969666
2002-06-30,5.266361751834436,-5.158532018474604,1.6298840704164874,2.0333333333333337,2.3000000000000003,8972.5,1814.5,10400.0,1.177651278338982
2002-09-30,-4.77783161152181,5.266361751834436,-3.14496231453002,1.4666666666666668,2.3,8814.6,1616.2000000000007,10544.282707049158,1.1250488410984167
2002-12-31,5.734825854315062,-4.77783161152181,11.821052815242616,2.033333333333333,2.533333333333333,8142.3,1201.9000000000003,10676.026437094535,1.1391524144043592
2003-03-31,-2.056814653834216,5.734825854315062,-5.158532018474604,2.6333333333333333,3.1,8176.2,878.3999999999996,10797.708300131842,1.132846941943496
2003-06-30,4.161977969728192,-2.056814653834216,5.266361751834436,3.366666666666667,3.5666666666666664,8271.0,1266.3000000000002,10911.0,1.110183057294556
2003-09-30,-3.18163144200484,4.161977969728192,-4.77783161152181,2.4,3.466666666666667,8449.3,1278.699999999999,11022.288928051676,1.0910667823070253
2003-12-31,9.737545183089736,-3.18163144200484,5.734825854315062,2.2666666666666666,3.733333333333333,8766.8,1401.5999999999997,11127.989272675404,1.1575043218607577
2004-03-31,-2.7153209406238443,9.737545183089736,-2.056814653834216,2.033333333333333,4.466666666666666,9355.3,1487.0999999999997,11221.81627357883,1.126829547732936
2004-06-30,4.450169291918149,-2.7153209406238443,4.161977969728192,2.2666666666666666,5.033333333333333,9705.3,1683.7999999999993,11298.0,1.1808479316943914
2004-09-30,-2.076022155511392,4.450169291918149,-3.18163144200484,3.3666666666666667,4.8,9953.5,1375.5,11356.93753753703,1.2089693177173622
2004-12-31,5.830454807138752,-2.076022155511392,9.737545183089736,3.5,4.833333333333333,10024.1,1746.3999999999996,11415.374049454758,1.191378814047208
2005-03-31,-5.654757857230286,5.830454807138752,-2.7153209406238443,3.866666666666666,5.133333333333333,10835.0,1464.2000000000007,11493.480592448814,1.2744012729325045
2005-06-30,6.591901748518869,-5.654757857230286,4.450169291918149,3.2,5.033333333333333,10912.7,1785.300000000001,11609.0,1.3156991913280385
2005-09-30,0.1690422740919128,6.591901748518869,-2.076022155511392,3.5666666666666664,4.5,11338.3,1503.0,11777.491506776718,1.3300651827008896
2005-12-31,15.321785854112946,0.1690422740919128,5.830454807138752,4.333333333333333,4.3,11733.2,2001.300000000001,11981.683578975346,1.313861025232547
2006-03-31,-3.417232498243972,15.321785854112946,-5.654757857230286,4.033333333333333,4.766666666666667,12595.4,1848.1000000000004,12192.828008011544,1.258171388433622
2006-06-30,3.711470163997999,-3.417232498243972,6.591901748518869,3.9,4.833333333333333,13851.5,2554.2999999999997,12380.0,1.369340977685119
2006-09-30,-3.3449037551277927,3.711470163997999,0.1690422740919128,3.633333333333333,4.333333333333333,14173.6,2536.800000000001,12531.83023905105,1.3600271145238012
2006-12-31,10.018016710801556,-3.3449037551277927,15.321785854112946,2.833333333333333,4.366666666666666,13997.7,2694.2000000000007,12662.295087613771,1.3667912117144896
2007-03-31,0.0824302639966578,10.018016710801556,-3.417232498243972,1.5333333333333332,4.766666666666667,15302.6,2330.9,12793.343801419564,1.4256808739806124
2007-06-30,5.509493636134,0.0824302639966578,3.711470163997999,2.1666666666666665,4.6000000000000005,15132.1,3008.6000000000004,12945.0,1.3313602969438068
2007-09-30,-5.389371135952037,5.509493636134,-3.3449037551277927,2.3666666666666667,3.966666666666667,15956.2,3091.900000000001,13135.606341964409,1.3389433585212016
2007-12-31,8.229922992299233,-5.389371135952037,10.018016710801556,2.1666666666666665,3.8,15962.3,3053.7999999999997,13342.639562429702,1.42007700770077
2008-03-31,0.3720230532318291,8.229922992299233,0.0824302639966578,3.966666666666667,4.3,16781.3,2766.199999999999,13530.64675904209,1.424573850641892
2008-06-30,3.37326703596057,0.3720230532318291,5.509493636134,4.266666666666667,4.766666666666667,16412.9,3612.7000000000007,13665.0,1.2962621649265291
2008-09-30,-4.374106075745998,3.37326703596057,-5.389371135952037,4.8,4.433333333333334,16749.9,3245.000000000002,13727.797564209572,1.322998099492545
2008-12-31,4.1439152571891125,-4.374106075745998,8.229922992299233,5.133333333333333,4.866666666666666,16356.7,2702.6000000000004,13748.548325637828,1.3987993402518109
2009-03-31,-7.885262350233124,4.1439152571891125,0.3720230532318291,2.2,5.6000000000000005,15093.8,2753.0,13769.292204091964,1.2139526648173289
2009-06-30,2.9730249247132745,-7.885262350233124,3.37326703596057,0.1666666666666666,5.633333333333333,13742.1,3451.300000000001,13831.0,1.0989513252600327
2009-09-30,-0.9084686702756528,2.9730249247132745,-4.374106075745998,-0.7333333333333334,4.933333333333334,13567.7,2791.800000000001,13964.751624310622,1.1175305415551822
2009-12-31,9.774986917844064,-0.9084686702756528,4.1439152571891125,-0.7000000000000001,4.833333333333333,14521.0,3124.5,14155.2276934385,1.19272632129775
